GeneSymbol
18S
ACTB
B2M
CASC3
EMC7
GADD45A
GADPH
GPI
GUSB
HMBS
HPRT1
IPO8
PGK1
POLR2A
PPIA
PSMC4
PUM1
RAB7A
REEP5
RPLP0
TBP
TFRC
UBC
YWHAZ
